,part,sex,group,age_months,condition,ME13
609,YA05,F,3,257,IMRE_diff,3.66
610,YA06,F,3,295,IMRE_diff,7.5
611,YA07,F,3,258,IMRE_diff,0.9
612,YA08,F,3,267,IMRE_diff,2.28
613,YA09,F,3,271,IMRE_diff,4.69
614,YA10,F,3,241,IMRE_diff,1.4
615,YA11,M,3,269,IMRE_diff,4.37
616,YA12,M,3,266,IMRE_diff,0.06
617,YA13,M,3,242,IMRE_diff,6.96
618,YA14,M,3,266,IMRE_diff,1.97
619,YA15,M,3,233,IMRE_diff,3.08
620,YA16,M,3,244,IMRE_diff,3.13
621,YA17,M,3,230,IMRE_diff,3.57
622,YA18,M,3,244,IMRE_diff,1.57
623,YA19,M,3,277,IMRE_diff,3.47
624,YA20,M,3,241,IMRE_diff,3.08
625,MA01,F,4,436,IMRE_diff,2.48
626,MA02,F,4,476,IMRE_diff,3.44
627,MA03,F,4,441,IMRE_diff,2.34
628,MA04,F,4,431,IMRE_diff,3.06
629,MA05,M,4,467,IMRE_diff,0.95
630,MA06,M,4,506,IMRE_diff,0.92
631,MA11,F,4,596,IMRE_diff,4.12
632,MA12,F,4,599,IMRE_diff,1.21
633,MA13,F,4,557,IMRE_diff,2.35
634,MA14,F,4,554,IMRE_diff,3.41
635,MA15,M,4,597,IMRE_diff,1.35
636,MA16,M,4,515,IMRE_diff,3.55
637,MA17,M,4,573,IMRE_diff,3.19
638,MA18,M,4,558,IMRE_diff,2.81
639,MA19,M,4,432,IMRE_diff,4.69
640,MA20,M,4,438,IMRE_diff,2.77
641,MA21,M,4,588,IMRE_diff,2.06
642,MA22,M,4,547,IMRE_diff,0.92
643,MA23,F,4,488,IMRE_diff,5.15
644,MA24,F,4,528,IMRE_diff,1.6
645,OA01,F,5,774,IMRE_diff,5.02
646,OA02,F,5,745,IMRE_diff,1.98
647,OA05,F,5,705,IMRE_diff,2.73
648,OA06,F,5,717,IMRE_diff,1.35
649,OA07,F,5,708,IMRE_diff,1.85
650,OA08,F,5,708,IMRE_diff,1.23
651,OA26,F,5,779,IMRE_diff,3.85
652,OA27,F,5,780,IMRE_diff,2.37
653,OA32,F,5,771,IMRE_diff,3.61
654,OA33,F,5,732,IMRE_diff,0.75
655,OA39,M,5,715,IMRE_diff,2.92
656,OA40,M,5,733,IMRE_diff,0.98
657,OA41,M,5,641,IMRE_diff,6.99
658,OA42,M,5,685,IMRE_diff,3.7
659,OA43,M,5,613,IMRE_diff,3.54
660,OA44,M,5,656,IMRE_diff,1.69
661,OA45,M,5,770,IMRE_diff,5.66
662,OA46,M,5,705,IMRE_diff,3.5
663,OA47,M,5,649,IMRE_diff,5.81
664,OA48,M,5,643,IMRE_diff,1.19
665,OA09,F,6,920,IMRE_diff,4.6
666,OA11,F,6,884,IMRE_diff,3.41
667,OA13,F,6,858,IMRE_diff,2.7
668,OA14,F,6,820,IMRE_diff,0.89
669,OA15,F,6,893,IMRE_diff,3.8
670,OA16,F,6,801,IMRE_diff,2.43
671,OA17,M,6,819,IMRE_diff,2.97
672,OA18,M,6,834,IMRE_diff,4.06
673,OA20,M,6,903,IMRE_diff,0.28
674,OA21,M,6,797,IMRE_diff,3.66
675,OA23,M,6,913,IMRE_diff,2.56
676,OA24,F,6,892,IMRE_diff,2.32
677,OA25,F,6,895,IMRE_diff,0.71
678,OA29,M,6,781,IMRE_diff,1.46
679,OA30,F,6,799,IMRE_diff,0.85
680,OA31,F,6,893,IMRE_diff,2.78
681,OA34,M,6,787,IMRE_diff,0.74
682,OA35,M,6,830,IMRE_diff,1.01
683,OA36,M,6,800,IMRE_diff,3.64
684,OA37,M,6,949,IMRE_diff,1.87
685,CH01,F,1,115,SPSN_diff,4.21
686,CH02,F,1,114,SPSN_diff,3.85
